ID,dimgrey,chartreuse,darkcyan,aquamarine,crimson,burlywood,darkolivegreen,brown,darkgrey,darkseagreen,darkgoldenrod,beige,darkturquoise,cyan,coral,black,dimgray,darkgray,darkred,chocolate,bisque,darkkhaki,cornflowerblue,azure,darkslateblue,darkorange,blanchedalmond,blue,darkgreen,darkviolet,darkorchid,deeppink,aliceblue,antiquewhite,aqua,deepskyblue,blueviolet,cornsilk,darkmagenta,darkslategrey,darksalmon,darkslategray,cadetblue,darkblue
404735,0,10,0,522,0,25,0,34,1,0,0,488,0,2,3,174,0,0,0,10,291,2,8,670,0,0,131,77,1,0,0,0,0,43,259,0,51,4,0,0,0,0,21,1
341248,0,21,2,166,9,55,3,69,1,0,1,416,0,5,17,315,0,1,0,12,418,0,12,237,1,0,217,155,1,1,0,0,0,17,219,0,118,4,0,0,0,0,40,5
108526,0,0,0,67,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,9,0,0,41,0,0,0,5,0,0,0,0,0,1807,170,0,1,0,0,0,0,0,0,0
66800,0,0,0,57,0,0,0,1,0,0,0,8,0,0,0,5,0,0,0,0,6,0,1,29,0,0,2,1,0,0,0,0,0,1973,230,0,1,0,0,0,0,0,0,0
290859,0,12,0,273,1,20,1,44,0,0,1,281,0,3,8,158,0,0,0,10,211,1,6,211,0,1,107,68,0,0,1,0,0,19,253,0,64,5,0,0,0,0,16,2
64798,0,10,0,183,1,23,0,42,0,0,0,261,0,0,4,146,0,2,0,11,221,1,4,201,0,0,126,75,0,0,0,0,0,40,578,0,66,3,0,0,0,0,13,1
271098,0,12,1,206,1,22,0,26,0,0,0,292,0,1,3,159,0,0,0,2,195,0,1,355,0,0,81,63,0,0,0,0,0,8,35,0,44,3,0,0,0,0,8,1
271023,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1761,44,0,0,0,0,0,0,0,0,0
105631,0,1,0,120,0,2,0,5,0,0,0,36,0,0,0,17,0,0,0,0,31,0,0,64,0,0,13,6,0,0,0,0,0,2090,380,0,3,0,0,0,0,0,1,0
247803,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,12,0,0,2,0,0,0,0,0,0,2222,70,0,1,0,0,0,0,0,0,0
163083,0,1,0,59,0,1,0,1,0,0,0,25,0,0,0,12,0,0,0,0,15,0,0,42,0,0,4,3,0,0,0,0,0,1602,219,0,2,0,0,0,0,0,0,0
310590,0,0,0,14,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,1970,15,0,0,0,0,0,0,0,0,0
222722,0,0,0,133,0,1,0,2,0,0,0,45,0,0,0,21,0,0,0,0,20,0,0,118,0,0,6,2,0,0,0,0,0,1670,185,0,3,0,0,0,0,0,0,0
180722,0,0,0,33,0,1,0,0,0,0,0,26,0,0,0,5,0,0,0,0,10,0,0,43,0,0,2,0,0,0,0,0,0,1798,47,0,1,0,0,0,0,0,0,0
7321,0,2,0,121,0,4,0,16,0,0,0,70,0,1,1,77,0,0,0,2,85,0,2,88,0,0,44,43,0,0,0,0,0,19,517,0,27,2,0,0,0,0,6,0
313360,0,0,0,6,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,1912,31,0,1,0,0,0,0,0,0,0
206951,0,1,0,218,1,5,0,14,0,0,0,354,0,0,1,95,0,0,0,0,222,0,1,318,0,0,62,24,0,0,0,0,0,7,118,0,35,0,0,0,0,0,4,0
291472,0,1,0,60,0,0,0,1,0,0,0,36,0,0,0,7,0,0,0,0,13,0,0,35,0,0,7,2,0,0,0,0,0,2219,43,0,3,0,0,0,0,0,0,0
249790,0,0,0,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,0,0,1803,14,0,1,0,0,0,0,0,0,0
133235,0,1,0,16,0,0,0,1,0,0,0,20,0,0,0,4,0,0,0,0,15,0,0,14,0,0,1,0,0,0,0,0,0,2153,17,0,0,0,0,0,0,0,0,0
268993,0,0,0,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,1877,11,0,0,0,0,0,0,0,0,0
236951,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2626,42,0,0,0,0,0,0,0,0,0
224270,0,14,0,268,0,18,0,19,0,0,0,227,0,1,1,131,0,1,0,6,202,0,2,229,0,0,114,60,0,0,0,0,0,175,817,0,30,0,0,0,0,0,8,0
204624,0,0,0,14,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,4,0,0,12,0,0,2,2,0,0,0,0,0,1887,47,0,0,0,0,0,0,0,0,0
383958,0,11,0,211,0,14,1,23,0,0,2,222,0,0,3,131,0,0,0,5,171,0,2,205,0,0,109,61,0,0,0,0,0,9,437,0,45,3,0,0,0,0,7,0
257664,0,7,0,193,2,9,0,25,0,0,0,327,0,0,3,179,0,0,0,7,268,0,1,307,0,0,116,60,0,0,0,0,0,2,37,0,35,3,0,0,0,0,11,0
209402,0,9,1,131,0,14,0,18,0,0,0,303,0,0,9,163,0,0,0,2,252,0,1,235,0,0,105,55,0,0,0,0,0,4,88,0,36,0,0,0,0,0,14,0
142419,0,0,0,30,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,1970,64,0,1,0,0,0,0,0,0,0
106919,0,8,0,203,1,16,0,21,1,0,0,253,0,0,4,159,0,1,0,9,222,0,1,191,0,0,75,70,0,0,0,0,0,28,280,0,49,0,0,0,0,0,16,0
133291,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,1886,12,0,0,0,0,0,0,0,0,0
311547,0,0,0,10,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,11,0,0,14,0,0,2,1,0,0,0,0,0,1956,25,0,0,0,0,0,0,0,0,0
318857,0,0,0,31,0,1,0,1,0,0,0,9,0,0,0,7,0,0,0,0,8,0,0,22,0,0,4,2,0,0,0,0,0,3449,94,0,2,0,0,0,0,0,0,0
294075,0,5,0,327,3,17,0,27,1,0,0,249,0,0,5,172,0,0,0,1,197,0,1,287,0,1,84,75,0,0,0,0,0,41,745,0,48,0,0,0,0,0,5,0
366456,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,1822,29,0,0,0,0,0,0,0,0,0
178705,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1964,56,0,1,0,0,0,0,0,0,0
76630,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,1696,52,0,0,0,0,0,0,0,0,0
205682,0,1,0,452,1,10,0,11,0,0,0,261,0,0,3,140,0,0,0,3,270,0,1,119,0,0,83,43,0,0,0,0,0,36,668,0,24,0,0,0,0,0,5,0
246707,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,2010,48,0,0,0,0,0,0,0,0,0
409418,0,0,0,86,0,0,0,2,0,0,0,21,0,0,0,10,0,0,0,0,11,0,0,49,0,0,6,1,0,0,0,0,0,1497,552,0,2,0,0,0,0,0,1,0
304556,0,1,0,114,1,0,0,2,0,0,0,82,0,0,0,50,0,0,0,0,17,0,0,176,0,0,26,9,0,0,0,0,0,1375,236,0,0,0,0,0,0,0,0,0
46398,0,1,0,193,0,4,0,3,0,0,0,141,0,0,0,46,0,0,0,2,94,0,0,165,0,0,25,20,0,0,0,0,0,544,447,0,7,1,0,0,0,0,5,1
290347,0,0,0,14,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0,0,4,0,0,33,0,0,0,1,0,0,0,0,0,1870,22,0,0,0,0,0,0,0,0,0
146665,0,0,0,31,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,3,0,0,25,0,0,2,1,0,0,0,0,0,1771,44,0,1,0,0,0,0,0,0,0
304443,0,3,0,547,1,14,0,18,1,0,0,134,0,0,3,90,0,0,0,1,109,0,1,159,0,0,48,48,0,0,0,0,0,69,1114,0,24,0,0,0,0,0,5,0
125313,0,0,0,27,1,0,0,1,0,0,0,25,0,0,0,7,0,0,0,0,11,0,0,19,0,0,6,1,0,0,0,0,0,1873,37,0,1,0,0,0,0,0,0,0
92888,0,6,0,221,0,11,0,14,0,0,0,322,0,0,3,115,0,0,0,2,226,0,3,241,0,0,70,42,0,0,0,0,0,8,279,0,27,1,0,0,0,0,3,0
7463,0,1,0,206,0,1,0,6,0,0,0,135,0,0,0,71,0,0,0,2,110,0,0,368,0,0,27,15,0,0,0,0,0,823,457,0,10,0,0,0,0,0,4,0
58604,0,0,0,23,0,2,0,0,0,0,0,15,0,0,0,3,0,0,0,0,6,0,0,20,0,0,2,2,0,0,0,0,0,2095,84,0,2,0,0,0,0,0,0,0
167886,0,0,0,12,0,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,5,0,0,7,0,0,2,0,0,0,0,0,0,1810,58,0,1,0,0,0,0,0,0,0
41733,0,6,1,288,0,8,0,8,0,0,0,379,0,0,3,123,0,1,0,3,237,0,1,428,0,0,60,39,2,0,0,0,0,556,495,0,22,5,0,0,0,0,7,0
17254,0,3,0,1134,0,5,0,12,0,0,1,220,0,1,2,62,0,0,0,3,113,0,2,565,0,0,37,17,0,0,0,0,0,185,764,0,14,0,0,0,0,0,3,1
398105,0,7,0,339,2,15,0,13,1,0,0,345,0,0,0,172,0,0,0,3,236,0,6,333,0,0,94,53,1,0,0,1,0,20,499,0,42,3,0,0,0,0,13,0
6405,0,0,0,39,0,1,0,6,0,0,0,39,0,0,0,19,0,0,0,1,22,0,0,43,0,0,22,8,0,0,0,0,0,1907,74,0,3,0,0,0,0,0,1,0
416898,0,0,0,26,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,1824,19,0,0,0,0,0,0,0,0,0
238574,0,20,2,268,10,41,1,49,0,0,2,275,0,5,15,227,0,1,1,13,275,1,7,297,0,0,168,97,4,0,3,0,0,54,340,1,76,10,0,1,0,0,26,8
329267,0,0,0,11,0,2,0,2,0,0,0,9,0,0,0,4,0,0,0,0,11,0,0,10,0,0,1,3,0,0,0,0,0,1718,45,0,1,0,0,0,0,0,1,0
399545,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,2,0,0,11,0,0,2,1,0,0,0,0,0,1916,168,0,0,0,0,0,0,0,0,0
95595,0,0,0,16,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,0,8,0,0,14,0,0,2,3,0,0,0,0,0,2507,67,0,0,0,0,0,0,0,1,0
79289,0,1,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,10,0,0,2,1,0,0,0,0,0,2486,79,0,0,0,0,0,0,0,1,0
130650,0,0,0,27,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,1765,36,0,0,0,0,0,0,0,0,0
191988,0,0,0,22,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,1,3,0,0,16,0,0,2,3,0,0,0,0,0,1885,88,0,2,0,0,0,0,0,0,0
35678,0,0,0,60,0,1,0,3,0,0,0,32,0,0,0,15,0,0,0,0,22,0,0,42,0,0,6,1,0,0,0,0,0,1496,75,0,3,0,0,0,0,0,0,0
182189,0,0,0,226,0,0,0,1,0,0,0,51,0,0,0,14,0,0,0,0,16,0,0,54,0,0,5,1,0,0,0,0,0,1649,320,0,1,0,0,0,0,0,1,0
318986,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1957,53,0,1,0,0,0,0,0,0,0
102403,0,0,0,69,0,1,0,1,0,0,0,22,0,0,0,3,0,0,0,0,14,0,0,35,0,0,3,0,0,0,0,0,0,1564,107,0,1,0,0,0,0,0,0,0
78414,0,9,0,141,3,20,0,34,0,0,0,352,0,2,5,245,0,0,0,6,335,0,3,154,0,0,139,81,0,0,0,0,0,26,412,0,45,1,0,0,0,0,15,1
381207,0,11,1,319,1,27,0,27,0,0,0,227,0,0,4,143,0,0,0,7,173,0,3,281,0,1,105,52,0,0,0,0,0,100,397,0,40,5,0,0,0,0,13,1
14281,0,0,0,43,1,1,0,0,0,0,0,18,0,1,0,4,0,0,0,0,16,0,0,28,0,0,6,7,0,0,0,0,0,2114,212,0,2,0,0,0,0,0,1,0
193584,0,6,0,455,3,9,0,24,0,0,0,206,0,1,2,147,0,0,0,6,185,0,1,210,0,0,94,74,1,0,0,0,0,7,1551,0,42,3,0,0,0,0,9,0
159873,0,2,0,385,0,8,0,8,0,0,0,133,0,0,0,53,0,0,0,1,78,0,0,243,0,0,44,26,0,0,0,0,0,956,820,0,17,0,0,0,0,0,1,0
390238,0,2,0,172,0,7,0,17,0,0,0,226,0,0,0,165,0,0,0,0,228,0,0,195,0,0,85,57,0,0,0,0,0,0,115,0,25,0,0,0,0,0,6,0
197244,0,3,0,396,2,16,0,15,0,0,1,296,0,1,1,124,0,0,0,1,196,0,3,371,0,1,76,49,0,0,1,0,0,112,268,0,21,1,0,0,0,0,5,0
123593,0,12,2,221,12,28,1,33,1,1,4,151,0,1,11,131,0,0,0,11,140,0,6,172,0,0,110,63,1,0,0,0,0,30,522,0,42,5,0,0,0,0,22,3
37684,0,3,0,239,0,4,0,19,0,0,0,132,0,1,1,79,0,0,0,0,125,0,0,146,0,0,48,41,0,0,0,0,0,53,432,0,28,1,0,0,0,0,2,0
189769,0,0,0,80,0,1,0,1,0,0,0,33,0,0,2,10,0,0,0,1,24,0,0,57,0,0,6,4,0,0,0,0,0,1615,246,0,4,0,0,0,0,0,1,0
196674,0,0,0,237,0,2,0,0,0,0,0,49,0,0,0,10,0,0,0,1,21,0,0,99,0,0,8,8,0,0,0,0,0,1432,331,0,5,0,0,0,0,0,2,0
411538,0,3,2,315,2,14,0,27,0,0,1,392,0,2,0,192,1,0,0,5,267,0,3,245,0,0,97,57,0,0,0,0,0,4,605,0,35,1,0,0,0,0,11,1
371952,0,1,0,385,1,8,0,14,0,0,1,525,0,3,1,188,0,1,0,3,377,0,2,571,0,0,85,46,0,0,0,0,0,3,620,0,23,1,0,0,0,0,2,0
