,ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
0,20406,0.00000,0.00000,0.01010,0.00000,0.13131,1.00000,0.00000,0.24242,0.05051,0.00000,0.00000
1,7730,0.00000,0.00000,0.00000,0.00000,0.20548,1.00000,0.00000,0.24658,0.23288,0.00000,0.00000
2,22883,0.00000,0.00000,0.00000,0.00000,0.12727,1.00000,0.00000,0.31818,0.09091,0.00000,0.00000
3,20338,0.00000,0.00000,0.00000,0.00000,0.13978,1.00000,0.00000,0.33333,0.03226,0.00000,0.00000
4,8549,0.00000,0.00000,0.00000,0.00000,0.27536,1.00000,0.00000,0.17391,0.15942,0.00000,0.00000
5,19682,0.00000,0.00000,0.00000,0.00000,0.17722,1.00000,0.00000,0.49367,0.06329,0.00000,0.00000
6,20465,0.00000,0.00000,0.00000,0.00000,0.05952,1.00000,0.00000,0.20238,0.00000,0.00000,0.00000
7,19844,0.00000,0.00000,0.00000,0.00000,0.17284,1.00000,0.00000,0.38272,0.00000,0.00000,0.00000
8,5797,0.00000,0.00000,0.00000,0.00000,0.25641,1.00000,0.00000,0.35897,0.33333,0.02564,0.00000
9,29604,0.00000,0.02222,0.00000,0.11111,0.24444,1.00000,0.00000,0.35556,0.15556,0.00000,0.00000
10,20051,0.00000,0.00000,0.00000,0.00000,0.08989,1.00000,0.00000,0.24719,0.00000,0.00000,0.00000
11,22834,0.00000,0.00000,0.00000,0.00000,0.05085,1.00000,0.00000,0.18644,0.00000,0.00000,0.00000
12,29613,0.00000,0.03030,0.00000,0.03030,0.11111,1.00000,0.00000,0.26263,0.18182,0.00000,0.00000
13,11773,0.00000,0.11111,0.02222,0.06667,0.11111,1.00000,0.06667,0.20000,0.15556,0.00000,0.00000
14,22576,0.00000,0.00000,0.00000,0.00000,0.06186,1.00000,0.00000,0.25773,0.00000,0.00000,0.00000
15,29647,0.00000,0.03571,0.03571,0.14286,0.14286,1.00000,0.00000,0.21429,0.10714,0.00000,0.00000
16,3298,0.00000,0.00000,0.00000,0.00000,0.34783,1.00000,0.00000,0.34783,0.36232,0.00000,0.00000
17,19784,0.00000,0.00000,0.00000,0.00000,0.07000,1.00000,0.00000,0.35000,0.00000,0.00000,0.00000
18,19755,0.00000,0.00000,0.00000,0.00000,0.12621,1.00000,0.00000,0.48544,0.00971,0.00000,0.00000
19,8798,0.00000,0.00000,0.00000,0.00000,0.24590,1.00000,0.00000,0.26230,0.22951,0.00000,0.00000
20,8081,0.00000,0.00000,0.00000,0.00000,0.16393,1.00000,0.00000,0.29508,0.24590,0.00000,0.00000
21,29575,0.00000,0.01000,0.00000,0.04000,0.07000,1.00000,0.00000,0.14000,0.15000,0.00000,0.00000
22,7457,0.00000,0.00000,0.00000,0.00000,0.17476,1.00000,0.00000,0.19417,0.23301,0.00000,0.00000
23,22600,0.00000,0.00000,0.00000,0.00000,0.12097,1.00000,0.00000,0.23387,0.04839,0.00000,0.00000
24,9309,0.00000,0.00000,0.00000,0.00000,0.15862,1.00000,0.00000,0.20000,0.15172,0.00000,0.00000
25,11752,0.00000,0.15385,0.09615,0.07692,0.23077,1.00000,0.17308,0.15385,0.15385,0.03846,0.00000
26,29605,0.00000,0.03191,0.01064,0.06383,0.13830,1.00000,0.00000,0.20213,0.25532,0.02128,0.00000
27,556,0.00935,0.37383,0.00000,0.08411,0.00000,1.00000,0.00000,0.00000,0.20561,0.00000,0.00000
28,29595,0.00000,0.01471,0.00000,0.04412,0.11765,1.00000,0.00000,0.17647,0.20588,0.00000,0.00000
29,11279,0.00000,0.16071,0.00000,0.08929,0.26786,1.00000,0.25000,0.26786,0.25000,0.00000,0.00000
30,3522,0.00000,0.00000,0.00000,0.00000,0.24324,1.00000,0.00000,0.32432,0.22973,0.00000,0.00000
31,15039,0.00000,0.10345,0.05172,0.10345,0.34483,1.00000,0.43103,0.18966,0.46552,0.01724,0.00000
32,26693,0.02985,0.02985,0.01493,0.02985,0.16418,1.00000,0.00000,0.25373,0.25373,0.00000,0.00000
33,3596,0.00000,0.00000,0.00000,0.00000,0.30864,1.00000,0.00000,0.24691,0.32099,0.00000,0.00000
34,3727,0.00000,0.00000,0.00000,0.00000,0.23469,1.00000,0.00000,0.28571,0.32653,0.00000,0.00000
35,11230,0.00000,0.08621,0.00000,0.13793,0.25862,1.00000,0.12069,0.24138,0.31034,0.00000,0.00000
36,11302,0.00000,0.18182,0.00000,0.13636,0.27273,1.00000,0.04545,0.13636,0.27273,0.04545,0.00000
37,11398,0.00000,0.05263,0.02632,0.10526,0.21053,1.00000,0.10526,0.07895,0.23684,0.00000,0.00000
38,18476,0.00000,0.00000,0.00000,0.00000,0.05208,1.00000,0.00000,0.16667,0.00000,0.00000,0.00000
39,11250,0.00000,0.04348,0.00000,0.08696,0.26087,1.00000,0.15217,0.21739,0.21739,0.00000,0.00000
40,11442,0.00000,0.11290,0.01613,0.08065,0.20968,1.00000,0.16129,0.17742,0.17742,0.00000,0.00000
41,32107,0.00000,0.02564,0.07692,0.02564,0.15385,1.00000,0.00000,0.23077,0.15385,0.02564,0.00000
42,11422,0.00000,0.17647,0.05882,0.11765,0.29412,1.00000,0.05882,0.29412,0.29412,0.00000,0.00000
43,21270,0.00000,0.00000,0.00000,0.00000,0.09774,1.00000,0.00000,0.41353,0.15038,0.00000,0.00000
44,24120,0.00000,0.02970,0.02970,0.34653,0.39604,1.00000,0.16832,0.00000,0.54455,0.24752,0.00000
45,1536,0.00000,0.15054,0.13978,0.00000,0.09677,1.00000,0.00000,0.00000,0.00000,0.00000,0.12903
